Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BMW,x1,2011,Diesel,suv,5,,,,,11900000.0,11425000.0
BMW,x1 20i m-sport,2025,Hybrid,suv,5,,,38000000.0,,,
BMW,x1 20i m-sport,2024,Petrol,suv,5,,,38500000.0,,,
BMW,x1 m-sport,2024,Petrol,suv,5,,,38250000.0,,,
BMW,x1 m-sport,2019,Petrol,suv,5,,,24850000.0,23000000.0,19800000.0,
BMW,x1 m-sport,2018,Petrol,suv,5,,,24850000.0,23000000.0,19800000.0,
BMW,x1 m-sport,2016,Petrol,suv,5,,,24850000.0,23000000.0,19800000.0,
BMW,x1 s-drive f48,2018,Petrol,suv,5,,,,,18500000.0,
BMW,x1 x-drive 25e m-sport,2024,Petrol,suv,5,,,43590000.0,,,
BMW,x2 18i m-sport,2019,Petrol,suv,5,,,,,23590000.0,
BMW,x2 m-sport,2018,Petrol,suv,5,,,,23500000.0,,
BMW,x2 x-liner,2018,Petrol,suv,5,,,,23000000.0,,
BMW,x3,2016,Petrol,suv,5,,,,,24900000.0,
BMW,x3,2014,Diesel,suv,5,,,,,19975000.0,18000000.0
BMW,x3,2013,Diesel,suv,5,,,,,19975000.0,18000000.0
BMW,x3,2012,Diesel,suv,5,,,,,19975000.0,18000000.0
BMW,x3 20d,2015,Diesel,suv,5,,,,,21850000.0,
BMW,x3 20d xdrive,2013,Diesel,suv,5,,,,,16800000.0,
BMW,x3 m-sport,2013,Diesel,suv,5,,,,,,17800000.0
BMW,x5,2016,Hybrid,suv,5,,,,,29000000.0,
BMW,x5,2014,Diesel,suv,5,,,,,33500000.0,
BMW,x5,2011,Petrol,suv,5,,,,,16000000.0,
BMW,x5 e-drive,2025,Hybrid,suv,5,,,95000000.0,,,
BMW,x5 e-drive,2017,Electric,suv,5,,,,,31000000.0,
BMW,x5 e-drive,2016,Hybrid,suv,5,,,,,,28500000.0
BMW,x5 e-drive 40e m-sport,2017,Hybrid,suv,5,,,,,28900000.0,
BMW,x5 e-drive 40e m-sport,2016,Hybrid,suv,5,,,,,29000000.0,
BMW,x5 e-drive m-sport,2025,Hybrid,suv,5,,,114000000.0,,,
BMW,x5 e-drive m-sport,2018,Hybrid,suv,5,,,,,33500000.0,
BMW,x5 m-sport,2017,Petrol,suv,5,,,,,26800000.0,
BMW,x5 m-sport,2016,Petrol,suv,5,,,,,27000000.0,
BMW,x5 m-sport,2015,Hybrid,suv,5,,,,,27500000.0,
BMW,x5 m-sport e-drive,2016,Petrol,suv,5,,,,,27500000.0,
BMW,x6 m 4400cc v8,2017,Petrol,suv,5,,,,,56500000.0,
BMW,x7 40d m-sport,2024,Hybrid,suv,7,,,120000000.0,,,
BMW,x7 m-sport,2024,Petrol,suv,7,,,137500000.0,,,
BMW,x7 x-drive 40d m-sport,2024,Diesel,suv,7,,,120000000.0,,,
BMW,z4 roadster s-drive 35i,2012,Petrol,roadster,2,,,,34500000.0,,
BYD,atto 3,2025,Electric,suv,5,,,20245000.0,,,
BYD,atto 3,2024,Electric,suv,5,,,20245000.0,,,
BYD,atto 3 superior,2025,Electric,suv,5,,,18000000.0,,,
BYD,e6,2019,Electric,sedan/hatchback,5,,,,,9000000.0,
BYD,seal,2024,Electric,sedan,5,,,50000000.0,,,
