Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Daihatsu,Taft G Dark Chrome Vent.,2024.0,,Petrol,9350000,0,9350000,,,
Daihatsu,Taft G Dark Crome,2024.0,,Petrol,9100000,3000,9100000,,,
Daihatsu,Taft G Darkchrome 4 way,2024.0,,Petrol,9350000,4100,9350000,,,
Daihatsu,Taft G GRADE,2024.0,,Petrol,9100000,0,9100000,,,
Daihatsu,Taft G Unregister,2024.0,,Petrol,8490000,0,8490000,,,
Daihatsu,Taft G Venture,2024.0,,Petrol,9200000,20,9200000,,,
Daihatsu,Taft G chrome hight pack,2024.0,,Petrol,8950000,2300,8950000,,,
Daihatsu,Taft G-Dark Chrom,2024.0,,Petrol,9300000,0,9300000,,,
Daihatsu,Taft Sun Roof,2024.0,,Petrol,8800000,4000,8800000,,,
Daihatsu,Taft X,2024.0,,Petrol,8850000,0,8825000,,,
Daihatsu,Taft X LIMITED,2024.0,,Petrol,9300000,0,9300000,,,
Daihatsu,TaftG Chrome venture,2024.0,,Petrol,9950000,1,9950000,,,
Daihatsu,Tanto Custom X,2024.0,,Petrol,10500000,1200,10500000,,,
Daihatsu,Thor Custom,2024.0,,Petrol,11375000,18000,11375000,,,
Daihatsu,Thor Intercooler,2024.0,,Petrol,12300000,6000,12300000,,,
Daihatsu,Canbus,2023.0,,Petrol,9550000,4000,9550000,,,
Daihatsu,Mira,2023.0,,Petrol,7050000,686,7395000,,6068750,5847500
Daihatsu,Mira ES,2023.0,Unregistered,Petrol,7150000,3804,7200000,,,
Daihatsu,Mira ES L Grade,2023.0,,Petrol,6850000,12000,6850000,,,
Daihatsu,Mira ES L Grade Safety,2023.0,,Petrol,6890000,7100,6990000,,,
Daihatsu,Mira ES L SAIII,2023.0,,Petrol,6700000,5000,6700000,,,
Daihatsu,Mira ES SAFETY,2023.0,,Petrol,7190000,5800,7310000,,,
Daihatsu,Mira ES Safety,2023.0,,Petrol,7175000,6000,7262500,,,
Daihatsu,Mira ES X,2023.0,,Petrol,7250000,7000,7250000,,,
Daihatsu,Mira Eis L SA3,2023.0,,Petrol,6890000,3600,6890000,,,
Daihatsu,Mira Es,2023.0,,Petrol,7290000,10231,7290000,,,
Daihatsu,Mira G Limited SA 3,2023.0,,Petrol,7975000,4000,7975000,,,
Daihatsu,Mira Japan safety,2023.0,,Petrol,6950000,39854,,6950000,,
Daihatsu,Mira L Grade,2023.0,,Petrol,6650000,25000,6985500,6650000,,
Daihatsu,Mira L SA3,2023.0,,Petrol,7000000,7000,7032500,,,
Daihatsu,Mira L SAFTY 70% LEASING,2023.0,,Petrol,6975000,4230,6975000,,,
Daihatsu,Mira LS 3,2023.0,,Petrol,6980000,7000,6980000,,,
Daihatsu,Mira Pre Order,2023.0,,Petrol,7500000,7829,7550000,,,
Daihatsu,Mira Safety,2023.0,unregistered,Petrol,6990000,38000,,6990000,,
Daihatsu,Mira X,2023.0,,Petrol,7435000,4600,7435000,,,
Daihatsu,Mira X LIMITED,2023.0,,Petrol,7290000,3000,7290000,,,
Daihatsu,Mira X Limited,2023.0,,Petrol,6890000,9000,7288750,,,
Daihatsu,Mira X limited,2023.0,,Petrol,7375000,8000,7375000,,,
Daihatsu,Mira dahihatsu,2023.0,,Petrol,6880000,6250,6880000,,,
Daihatsu,Move Custom,2023.0,,Petrol,9475000,14340,9475000,,,
Daihatsu,Move L,2023.0,,Petrol,7600000,7900,7600000,,,
Daihatsu,Move Pre Order,2023.0,,Petrol,7400000,2169,7400000,,,
Daihatsu,Move Safety,2023.0,,Petrol,8650000,25949,,8650000,,
Daihatsu,Move Wagon X,2023.0,,Petrol,8675000,31,8675000,,,
Daihatsu,Move X Limited,2023.0,,Petrol,8100000,31000,,8100000,,
Daihatsu,Rocky,2023.0,,Petrol,13790000,12188,14145000,,13500000,
Daihatsu,Rocky 1.0L Highest Option,2023.0,,Petrol,12950000,20000,12950000,12950000,,
Daihatsu,Rocky G Chrome,2023.0,,Petrol,8950000,17000,8950000,,,
Daihatsu,Taft,2023.0,,Petrol,9450000,840,9190000,,,
Daihatsu,Taft Dark Chrome Venture,2023.0,,Petrol,9275000,14100,9125000,,,
Daihatsu,Taft G,2023.0,,Petrol,8750000,10000,9050000,9375000,,
Daihatsu,Taft G CHROME,2023.0,,Petrol,9475000,270,9171667,,,
Daihatsu,Taft G Chrome,2023.0,,Petrol,9600000,90,9400000,,,
Daihatsu,Taft G Chrome Venture,2023.0,,Petrol,8849996,13000,8953750,,,
Daihatsu,Taft G Chrome venture,2023.0,,Petrol,8975000,22000,8995000,8975000,,
Daihatsu,Taft G Crome With 4Way,2023.0,,Petrol,8650000,8000,8650000,,,
Daihatsu,Taft G Dark Chrom,2023.0,,Petrol,9550000,8440,9550000,8995000,,
Daihatsu,Taft G DarkChrome,2023.0,,Petrol,9175000,1000,9175000,,,
Daihatsu,Taft G Dk Chrome,2023.0,,Petrol,9275000,8200,9275000,,,
