Manufacturer,Model,Year,Condition,Fuel Type,Price
Toyota,Hilux Double Cab,2007,,Diesel,"Rs 11,350,000"
Ford,Raptor Ranger F-150,2019,,Diesel,"Rs 27,000,000"
Mitsubishi,RVR,1997,,Diesel,"Rs 3,000,000"
Toyota,Hilux Revo GR SPORT,2025,,Diesel,"Rs 33,500,000"
Toyota,Hilux Revo Single Cab 4WD,2025,,Diesel,"Rs 13,450,000"
Ford,Raptor Ranger,2017,,Diesel,"Rs 26,500,000"
Land Rover,Discovery 4 HSE LUXURY,2014,,Diesel,"Rs 24,500,000"
BMW,725D Luxury Line,2019,,Diesel,"Rs 62,500,000"
Hyundai,Tucson,2013,,Diesel,"Rs 9,500,000"
Toyota,Hilux ROCCO BRAND,2025,NEW,Diesel,"Rs 27,990,000"
Ford,Ranger MS-RT,2024,,Diesel,"Rs 32,990,000"
Toyota,Hilux GR SPORT THAILAND,2025,,Diesel,"Rs 32,490,000"
Toyota,Corona,1993,,Diesel,"Rs 2,800,000"
Land Rover,Range Sport HSE,2018,,Diesel,"Rs 53,500,000"
Toyota,Land Cruiser Prado Tx,2014,,Diesel,"Rs 38,500,000"
Ford,Raptor Ranger W/Hamer,2025,,Diesel,"Rs 37,000,000"
