Manufacturer,Model,Year,Condition,Fuel Type,Price
Suzuki,Spacia Xs Custom,2024,,Hybrid,"Rs 11,350,000"
Suzuki,Spacia XS CUSTOM B/N,2025,,Hybrid,"Rs 11,250,000"
Suzuki,Wagon R FX Safety,2024,,Hybrid,"Rs 8,600,000"
Nissan,Dayz Highway Star,2024,,Hybrid,"Rs 9,150,000"
Land Rover,Defender HSE 110,2025,,Hybrid,"Rs 88,500,000"
Toyota,Axio G Grade,2024,,Hybrid,"Rs 17,190,000"
Toyota,Axio G Grade,2023,,Hybrid,"Rs 16,990,000"
Land Rover,Defender P300e XDynamic HSE,2025,,Hybrid,"Rs 89,000,000"
Subaru,XV eyesight,2013,,Hybrid,"Rs 9,750,000"
Honda,Vezel Z GRADE,2023,,Hybrid,"Rs 20,550,000"
Toyota,Axio WXB FULL OPTION,2017,,Hybrid,"Rs 13,690,000"
Toyota,Yaris Cross Z Premium,2023,,Hybrid,"Rs 17,500,000"
Suzuki,Hustler G Grade,2023,,Hybrid,"Rs 8,740,000"
Toyota,Yaris CROSS 1.5,2023,,Hybrid,"Rs 17,990,000"
Honda,Vezel Z Play,2024,,Hybrid,"Rs 22,400,000"
Suzuki,Spacia Custom XS Black Top,2018,,Hybrid,"Rs 8,850,000"
Toyota,Raize Z GRADE JAPAN,2022,,Hybrid,"Rs 15,590,000"
Suzuki,Wagon R FX FX-S,2025,,Hybrid,"Rs 8,990,000"
Honda,Vezel RU3,2014,,Hybrid,"Rs 10,700,000"
Suzuki,Spacia CUSTOM,2024,,Hybrid,"Rs 11,400,000"
Honda,Vezel HEV Play,2022,,Hybrid,"Rs 21,400,000"
Honda,Vezel RS Sensing,2016,,Hybrid,"Rs 12,900,000"
Honda,Vezel X Grade,2024,,Hybrid,"Rs 17,490,000"
Honda,Vezel Z Premium Plus,2025,,Hybrid,"Rs 21,490,000"
Nissan,X-Trail Safety Package,2015,,Hybrid,"Rs 11,000,000"
Honda,Vezel Z PLAY,2024,,Hybrid,"Rs 21,300,000"
Honda,Grace EX Package,2019,,Hybrid,"Rs 11,250,000"
Suzuki,Hustler G,2025,,Hybrid,"Rs 9,100,000"
Suzuki,Hustler G,2023,,Hybrid,"Rs 8,325,000"
Suzuki,Spacia Safety Unregi,2023,,Hybrid,"Rs 8,300,000"
Suzuki,XBee MV,2023,,Hybrid,"Rs 10,750,000"
Toyota,Aqua X,2015,,Hybrid,"Rs 9,550,000"
Suzuki,Spacia Xs Plus,2023,,Hybrid,"Rs 9,175,000"
Toyota,Roomy GT Custom,2025,,Hybrid,"Rs 14,000,000"
Honda,Fit GP5 S Grade RS,2017,,Hybrid,"Rs 11,490,000"
Honda,Vezel Z Play Moonroof,2024,,Hybrid,"Rs 22,190,000"
Suzuki,Spacia,2025,,Hybrid,"Rs 9,000,000"
Suzuki,Wagon R Custom ZX Upgrade,2024,,Hybrid,"Rs 10,500,000"
Toyota,Yaris Cross Z Adventure,2024,,Hybrid,"Rs 17,850,000"
Honda,Vezel Z Play Moon Roof,2025,,Hybrid,"Rs 24,200,000"
Honda,Vezel Z Play MoonRoof,2025,,Hybrid,"Rs 25,000,000"
Toyota,Yaris Cross,2024,,Hybrid,"Rs 19,250,000"
Suzuki,Wagon R FZ costom z,2022,,Hybrid,"Rs 9,550,000"
Honda,Vezel Z PLAY SUNROOF 360â°,2024,,Hybrid,"Rs 24,850,000"
Honda,Vezel Z Premium Plus Edit,2024,,Hybrid,"Rs 23,400,000"
Toyota,Raize Z gread Fully load,2024,,Hybrid,"Rs 16,900,000"
Toyota,Yaris Cross Adventure G,2023,,Hybrid,"Rs 17,990,000"
Suzuki,Spacia Coustom XG,2023,,Hybrid,"Rs 9,650,000"
Honda,Vezel RS Sensing LED Face,2018,,Hybrid,"Rs 14,800,000"
Suzuki,Hustler G Grade,2024,,Hybrid,"Rs 8,650,000"
Toyota,Aqua G Grade,2014,,Hybrid,"Rs 7,600,000"
Suzuki,Hustler Though Wild,2025,,Hybrid,"Rs 9,400,000"
