Manufacturer,Model,Year,Condition,Fuel Type,Price
Toyota,Premio G Superior,2016,,Petrol,"Rs 16,250,000"
Nissan,X-Trail T30,2007,,Petrol,"Rs 7,950,000"
Honda,CRV CR-V,2018,,Petrol,"Rs 20,500,000"
Suzuki,Hustler G,2024,,Petrol,"Rs 8,650,000"
Toyota,Vitz,2016,,Petrol,"Rs 7,930,000"
Daihatsu,Thor Gt Custom U/R,2022,,Petrol,"Rs 11,200,000"
Toyota,Vitz Edition 2,2018,,Petrol,"Rs 8,850,000"
Toyota,Vitz KSP 130,2016,,Petrol,"Rs 7,850,000"
Nissan,Dayz X Wagon Safety LED,2024,,Petrol,"Rs 8,250,000"
Toyota,Raize Z,2024,,Petrol,"Rs 13,900,000"
Mercedes Benz,CLA45 AMG,2018,,Petrol,"Rs 40,500,000"
Mitsubishi,Montero Center Tyre,2012,,Petrol,"Rs 22,000,000"
Toyota,Roomy G Grade,2023,,Petrol,"Rs 10,250,000"
Chery,Tiggo 4 Pro,2024,,Petrol,"Rs 11,000,000"
Toyota,Raize Z Grade U/R,2024,,Petrol,"Rs 12,900,000"
Kia,Jeep Caren,2004,,Petrol,"Rs 3,600,000"
Suzuki,Swift,2009,,Petrol,"Rs 6,500,000"
BMW,X2 M Sport,2018,,Petrol,"Rs 23,500,000"
Mercedes Benz,C200 AMG-L Premium Plus,2018,,Petrol,"Rs 28,700,000"
Honda,Fit GP5,2014,,Petrol,"Rs 8,790,000"
Suzuki,Wagon R,2014,,Petrol,"Rs 5,690,000"
Toyota,Corolla dx KE72,1984,,Petrol,"Rs 1,200,000"
Mitsubishi,eK Wagon SAFETY,2023,,Petrol,"Rs 7,550,000"
Nissan,March K11,2000,,Petrol,"Rs 3,790,000"
Toyota,Premio G Superior,2015,,Petrol,"Rs 16,000,000"
Ford,Kuga,2015,,Petrol,"Rs 13,950,000"
Toyota,Roomy Custom G,2023,,Petrol,"Rs 11,490,000"
Perodua,Axia G Grade,2017,,Petrol,"Rs 6,290,000"
Kia,Sonet GTX+,2025,,Petrol,"Rs 12,800,000"
Toyota,Land Cruiser Prado 250 Edition,2024,,Petrol,"Rs 66,500,000"
Suzuki,Swift Beetle,2004,,Petrol,"Rs 4,900,000"
Maruti Suzuki,800,2003,,Petrol,"Rs 2,319,998"
Toyota,Yaris X LIMITED,2022,,Petrol,"Rs 10,150,000"
Toyota,Raize,2024,,Petrol,"Rs 14,575,000"
Renault,KWID,2016,,Petrol,"Rs 3,750,000"
Toyota,RAV4,2000,,Petrol,"Rs 7,465,000"
Mitsubishi,eK Wagon,2024,,Petrol,"Rs 7,500,000"
Suzuki,Grand Vitara,2013,,Petrol,"Rs 9,450,000"
Suzuki,Alto,2017,,Petrol,"Rs 5,800,000"
Toyota,Land Cruiser Prado 150,2010,,Petrol,"Rs 29,600,000"
Toyota,Passo,2008,,Petrol,"Rs 5,575,000"
BMW,X1 M Sport,2018,,Petrol,"Rs 23,000,000"
Mitsubishi,Montero GLS,2012,,Petrol,"Rs 21,950,000"
Toyota,Land Cruiser Sahara LC 300,2024,,Petrol,"Rs 102,500,000"
